Område,S,C,KD,L,MP,M,SD,V,ÖVR,OGEJ,BLANK,OG
Stockholms kommun,170308,51437,19227,41663,60791,115706,64730,71171,11721,154,4311,689
Stockholms län,223056,60776,40207,48949,42284,197466,144315,51623,13836,145,6746,804
Uppsala län,72499,18040,14766,12465,16750,45457,45237,19543,4134,55,2165,190
Södermanlands län,60891,10989,8772,6643,7409,35513,42547,9605,2514,33,1826,142
Östergötlands län,91837,19479,17943,13271,13917,59623,63733,16884,3913,51,3020,235
Jönköpings län,66568,17078,21326,8480,7377,42913,53338,9069,2976,35,2335,174
Kronobergs län,38712,7559,8451,3897,4338,24390,29516,6281,1848,26,1231,136
Kalmar län,51179,10523,11226,5126,5427,28672,39516,7484,2114,35,1802,119
Gotlands län,14361,4858,1645,1169,2683,6969,6504,2642,628,8,533,47
Blekinge län,32255,5014,5735,3637,3015,18500,29556,4600,1268,15,1151,100
Malmö kommun,56789,10546,5753,8706,14386,34313,31433,23986,6133,36,1687,192
Skåne läns västra,52402,9524,9055,8592,6779,37982,55104,8832,3413,51,1966,165
Skåne läns södra,65747,17171,12341,15949,14386,57216,60573,12857,3132,60,2214,174
Skåne läns norra och östra,51154,10040,12480,7625,6006,39595,65345,7987,2739,32,2124,122
Hallands län,62666,15590,13328,10739,7963,49810,50046,8963,2570,41,2243,224
Göteborgs kommun,95980,20343,15170,20317,27485,64157,50889,44602,8160,143,3032,238
Västra Götalands läns västra,69468,15881,15571,13467,12846,50707,52558,14089,3276,61,2263,174
Västra Götalands läns norra,54311,9938,10711,6311,6318,30443,44165,8953,2505,42,1883,123
Västra Götalands läns södra,41350,10063,9871,5445,5053,26846,33477,7583,2218,32,1583,122
Västra Götalands läns östra,55421,11667,12289,5919,5748,32790,42572,7856,2264,47,2053,164
Värmlands län,63034,11557,10590,6766,6635,31068,41555,9126,1906,59,2152,159
Örebro län,64565,12159,10368,8828,7866,32508,42904,11873,3119,23,2169,122
Västmanlands län,54645,9224,8554,7100,5465,32671,40415,10475,2200,30,1932,131
Dalarnas län,59080,12131,11231,5786,7087,30664,47931,9937,2752,31,2207,143
Gävleborgs län,63415,11405,9303,5462,6308,29661,43994,10783,2256,49,1960,174
Västernorrlands län,62562,11822,8591,4348,5437,22176,32829,9123,1835,41,1654,142
Jämtlands län,30666,7771,4574,2244,4269,12574,17097,4749,1080,19,1009,66
Västerbottens län,72318,13827,8368,5544,9653,25121,25666,15097,1949,44,1978,147
Norrbottens län,67235,8533,8266,4094,5561,21917,32780,11277,1793,33,1604,149